faktor_memperberat,faktor_memperingan,durasi,tingkat_nyeri,arah_latihan,gerakan1,gerakan2,gerakan3
membungkuk,Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
membungkuk,Peregangan,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
"membungkuk, berdiri lama",Berbaring/istirahat,diatas 12 minggu,sedang,stabilisasi,bird-dog,forearm-plank,side-plank
"membungkuk, berdiri lama",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,cat-cow,pelvic-tilt,supine-hamstring-stretch
"membungkuk, berdiri lama",Jalan kaki ringan,diatas 12 minggu,ringan,mobilisasi/postural,cat-cow,pelvic-tilt,supine-spinal-twist
"membungkuk, duduk lama",Berbaring/istirahat,6 sampai 12 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
"membungkuk, duduk lama",Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,cobra-pose,bird-dog,forearm-plank
"membungkuk, duduk lama",Jalan kaki ringan,diatas 12 minggu,sedang,ekstensi,bird-dog,side-plank,glute-bridge
"membungkuk, duduk lama",Kompres hangat/dingin,6 sampai 12 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
"membungkuk, duduk lama",Peregangan,dibawah 6 minggu,sedang,ekstensi,cobra-pose,bird-dog,forearm-plank
"membungkuk, memutar tubuh",Kompres hangat/dingin,dibawah 6 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"membungkuk, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
"membungkuk, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
duduk lama,Jalan kaki ringan,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
duduk lama,Peregangan,6 sampai 12 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
duduk lama,Peregangan,diatas 12 minggu,sedang,ekstensi,cobra-pose,bird-dog,forearm-plank
duduk lama,Peregangan,dibawah 6 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"duduk lama, berdiri lama",kompres hangat/dingin,dibawah 6 minggu,ringan,postural/mobilisasi,pelvic-tilt,cat-cow,glute-bridge
"duduk lama, berdiri lama",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,cat-cow,pelvic-tilt,supine-hamstring-stretch
"duduk lama, berdiri lama",Kompres hangat/dingin,6 sampai 12 minggu,ringan,stabilisasi,bird-dog,forearm-plank,side-plank
"duduk lama, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,cat-cow,pelvic-tilt,child-pose
"duduk lama, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,sedang,mobilisasi/postural,cat-cow,pelvic-tilt,child-pose
"duduk lama, memutar tubuh",Jalan kaki ringan,diatas 12 minggu,ringan,mobilisasi/postural,cat-cow,pelvic-tilt,supine-hamstring-stretch
"duduk lama, memutar tubuh",Kompres hangat/dingin,6 sampai 12 minggu,sedang,stabilisasi,bird-dog,side-plank,glute-bridge
"duduk lama, memutar tubuh",Kompres hangat/dingin,diatas 12 minggu,sedang,stabilisasi,bird-dog,forearm-plank,side-plank
"duduk lama, mengangkat beban",Berbaring/istirahat,6 sampai 12 minggu,sedang,stabilisasi,bird-dog,forearm-plank,side-plank
"duduk lama, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"duduk lama, mengangkat beban",Jalan kaki ringan,dibawah 6 minggu,sedang,ekstensi,cobra-pose,bird-dog,forearm-plank
"duduk lama, mengangkat beban",Peregangan,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"duduk lama, mengangkat beban",Peregangan,diatas 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
berdiri lama,Berbaring/istirahat,6 sampai 12 minggu,sedang,fleksi,knee-to-chest,child-pose,pelvic-tilt
berdiri lama,Berbaring/istirahat,dibawah 6 minggu,ringan,fleksi,knee-to-chest,child-pose,supine-hamstring-stretch
berdiri lama,Kompres hangat/dingin,diatas 12 minggu,ringan,fleksi,knee-to-chest,child-pose,pelvic-tilt
berdiri lama,Peregangan,dibawah 6 minggu,ringan,fleksi,knee-to-chest,child-pose,supine-hamstring-stretch
"berdiri lama, memutar tubuh",Berbaring/istirahat,dibawah 6 minggu,sedang,fleksi,knee-to-chest,child-pose,pelvic-tilt
"berdiri lama, memutar tubuh",Kompres hangat/dingin,diatas 12 minggu,ringan,fleksi,knee-to-chest,child-pose,supine-hamstring-stretch
"berdiri lama, mengangkat beban",Kompres hangat/dingin,dibawah 6 minggu,sedang,stabilisasi,bird-dog,side-plank,glute-bridge
"berdiri lama, mengangkat beban",Peregangan,diatas 12 minggu,ringan,fleksi,knee-to-chest,child-pose,pelvic-tilt
