faktor_memperberat,faktor_memperingan,durasi,tingkat_nyeri,arah_latihan,gerakan1,gerakan2,gerakan3
membungkuk,Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
membungkuk,Peregangan,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"membungkuk, berdiri lama",Berbaring/istirahat,diatas 12 minggu,sedang,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
"membungkuk, berdiri lama",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Supine-Hamstring-Stretch
"membungkuk, berdiri lama",Jalan kaki ringan,diatas 12 minggu,ringan,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Supine-Spinal-Twist
"membungkuk, duduk lama",Berbaring/istirahat,6 sampai 12 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"membungkuk, duduk lama",Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"membungkuk, duduk lama",Jalan kaki ringan,diatas 12 minggu,sedang,ekstensi,Bird-Dog,Side-Plank,Glute-Bridge
"membungkuk, duduk lama",Kompres hangat/dingin,6 sampai 12 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"membungkuk, duduk lama",Peregangan,dibawah 6 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"membungkuk, memutar tubuh",Kompres hangat/dingin,dibawah 6 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"membungkuk, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"membungkuk, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
duduk lama,Jalan kaki ringan,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
duduk lama,Peregangan,6 sampai 12 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
duduk lama,Peregangan,diatas 12 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
duduk lama,Peregangan,dibawah 6 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"duduk lama, berdiri lama",kompres hangat/dingin,dibawah 6 minggu,ringan,postural/mobilisasi,Pelvic-Tilt,Cat-Cow,Glute-Bridge
"duduk lama, berdiri lama",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Supine-Hamstring-Stretch
"duduk lama, berdiri lama",Kompres hangat/dingin,6 sampai 12 minggu,ringan,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
"duduk lama, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,ringan,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Child-Pose
"duduk lama, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,sedang,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Child-Pose
"duduk lama, memutar tubuh",Jalan kaki ringan,diatas 12 minggu,ringan,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Supine-Hamstring-Stretch
"duduk lama, memutar tubuh",Kompres hangat/dingin,6 sampai 12 minggu,sedang,stabilisasi,Bird-Dog,Side-Plank,Glute-Bridge
"duduk lama, memutar tubuh",Kompres hangat/dingin,diatas 12 minggu,sedang,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
"duduk lama, mengangkat beban",Berbaring/istirahat,6 sampai 12 minggu,sedang,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
"duduk lama, mengangkat beban",Berbaring/istirahat,dibawah 6 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"duduk lama, mengangkat beban",Jalan kaki ringan,dibawah 6 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"duduk lama, mengangkat beban",Peregangan,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"duduk lama, mengangkat beban",Peregangan,diatas 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
berdiri lama,Berbaring/istirahat,6 sampai 12 minggu,sedang,fleksi,Knee-to-Chest,Child-Pose,Pelvic-Tilt
berdiri lama,Berbaring/istirahat,dibawah 6 minggu,ringan,fleksi,Knee-to-Chest,Child-Pose,Supine-Hamstring-Stretch
berdiri lama,Kompres hangat/dingin,diatas 12 minggu,ringan,fleksi,Knee-to-Chest,Child-Pose,Pelvic-Tilt
berdiri lama,Peregangan,dibawah 6 minggu,ringan,fleksi,Knee-to-Chest,Child-Pose,Supine-Hamstring-Stretch
"berdiri lama, memutar tubuh",Berbaring/istirahat,dibawah 6 minggu,sedang,fleksi,Knee-to-Chest,Child-Pose,Pelvic-Tilt
