keluhan,tingkat_nyeri,gerakan,deskripsi,durasi
nyeri punggung bawah,ringan,pelvic tilt,gerakan untuk memperbaiki postur dan mengurangi nyeri punggung,10 repetisi
nyeri punggung bawah,sedang,cat cow stretch,gerakan yoga untuk meregangkan tulang belakang dan memperbaiki fleksibilitas,2 menit
nyeri punggung bawah,berat,childs pose,peregangan lembut untuk mengurangi tekanan tulang belakang,3 menit
nyeri leher,ringan,neck stretch,peregangan untuk mengurangi ketegangan otot leher,5 repetisi
nyeri leher,sedang,shoulder rolls,gerakan untuk melenturkan bahu dan leher,10 repetisi
nyeri leher,berat,upper trapezius stretch,peregangan mendalam untuk otot leher bagian atas,2 menit
kaku pada punggung,ringan,cobra pose,gerakan untuk meregangkan punggung bagian bawah,8 repetisi
kaku pada punggung,sedang,seated forward bend,meningkatkan fleksibilitas tulang belakang bagian bawah,2 menit
kaku pada punggung,berat,standing forward bend,peregangan intensif untuk otot punggung,2 menit
kesemutan pada kaki,ringan,leg raise,melancarkan sirkulasi darah pada kaki,10 repetisi
kesemutan pada kaki,sedang,hamstring stretch,mengurangi tekanan saraf pada tulang belakang dan kaki,2 menit
kesemutan pada kaki,berat,bridge pose,menguatkan otot punggung dan pinggul untuk mengurangi nyeri,3 menit
nyeri punggung atas,ringan,wall angels,melatih otot bahu dan punggung atas,10 repetisi
nyeri punggung atas,sedang,thoracic extension,peregangan untuk meningkatkan mobilitas punggung atas,2 menit
nyeri punggung atas,berat,reverse fly,gerakan kekuatan untuk menguatkan otot punggung atas,8 repetisi
pusing dan keseimbangan,ringan,mountain pose,melatih keseimbangan tubuh dan fokus,1 menit
pusing dan keseimbangan,sedang,warrior pose,menguatkan otot inti untuk menjaga keseimbangan,2 menit
pusing dan keseimbangan,berat,half moon pose,peregangan dan keseimbangan tubuh secara keseluruhan,2 menit
